image_id,arquivo_original,caminho_drive,fornecedor,fornecedor_slug,sku,sku_slug,codigo,seq,md5,s3_key,s3_url,etag,status,versao,enviado_em
1Oc5hMTFt5RZlLlBtQZWQiR037SmCVIma,CANDLE HOLDER1 - JAL.jpg,IN&OUT/*COMPLEMENTOS/CANDLE HOLDER1 - JAL.jpg,Sollos,sollos,CANDLE HOLDER FOGO,candle-holder-fogo,JAL,1,39d93757a0a062c3e6790aac364ab103,sollos/candle-holder-fogo/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/candle-holder-fogo/1.jpg,,previsto,LATEST,
1aUGU_mRU8YuZQGC-PjcJ_HKwxRjqi6JL,CANDLE HOLDER2 - JAL.jpg,IN&OUT/*COMPLEMENTOS/CANDLE HOLDER2 - JAL.jpg,Sollos,sollos,CANDLE HOLDER FOGO,candle-holder-fogo,JAL,2,a560bbd2ed54bea8a3129fa8b93b2211,sollos/candle-holder-fogo/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/candle-holder-fogo/2.jpg,,previsto,LATEST,
1dXbcR8AsZtrZiklKadLOBp8f70Y9F8yz,CONTORNO1 - DFL.jpg,IN&OUT/*SOFÁS/CONTORNO1 - DFL.jpg,Dona Flor,dona-flor,CONTORNO,contorno,DFL,1,31f260054a8e142fedaf0d8b5b3d771e,dona-flor/contorno/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/dona-flor/contorno/1.jpg,,previsto,LATEST,
1cFWYsbANyTqZTfh27qW4TVxQMg6JECbg,CONTORNO1 - DFL.webp,IN&OUT/*CARRINHOS DE BAR/CHÁ/CONTORNO1 - DFL.webp,Dona Flor,dona-flor,CONTORNO,contorno,DFL,2,1f6288896012d72a55d09c85940ba09f,dona-flor/contorno/2.webp,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/dona-flor/contorno/2.webp,,previsto,LATEST,
1QbjYfSWERCmcD0Abdua175OxQPO_g5bZ,CONTORNO2 - DFL.jpeg,IN&OUT/*CARRINHOS DE BAR/CHÁ/CONTORNO2 - DFL.jpeg,Dona Flor,dona-flor,CONTORNO,contorno,DFL,3,587aed78478de963ce6fe7d93ea4269a,dona-flor/contorno/3.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/dona-flor/contorno/3.jpg,,previsto,LATEST,
11heXCemLCvQBzhFyEXC50uZxiEarnLBz,CONTORNO2 - DFL.jpg,IN&OUT/*SOFÁS/CONTORNO2 - DFL.jpg,Dona Flor,dona-flor,CONTORNO,contorno,DFL,4,1eb0dfff5cb12b557d4e914956830043,dona-flor/contorno/4.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/dona-flor/contorno/4.jpg,,previsto,LATEST,
180xSS8d6ZuO-gYINaV7G2TljbRsuqYgJ,CONTORNO2 - DFL.webp,IN&OUT/*MESAS DE APOIO/CONTORNO2 - DFL.webp,Dona Flor,dona-flor,CONTORNO,contorno,DFL,5,020b3c16e95a7b6bb2b1cb80810ffba0,dona-flor/contorno/5.webp,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/dona-flor/contorno/5.webp,,previsto,LATEST,
13grg-AuSTo7Xm-jR9nOm7tp1pqA6q13O,COLIBRI1 - DFL.webp,IN&OUT/*CARRINHOS DE BAR/CHÁ/COLIBRI1 - DFL.webp,Dona Flor,dona-flor,COLIBRI,colibri,DFL,1,f291a4646d8f3fdcce005ea94448d5dc,dona-flor/colibri/1.webp,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/dona-flor/colibri/1.webp,,previsto,LATEST,
1iL-F6C_xf_AFDNQOOKumqm-xjUbkPcGw,COLIBRI2 - DFL.jpg,IN&OUT/*CARRINHOS DE BAR/CHÁ/COLIBRI2 - DFL.jpg,Dona Flor,dona-flor,COLIBRI,colibri,DFL,2,8a46b4a53eb954900fa76b6782d4b5d7,dona-flor/colibri/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/dona-flor/colibri/2.jpg,,previsto,LATEST,
1ammEsEK-IkGTBUMsYCaDmjyqgZk0YPD1,TECA1 - JAL.jpg,LIVING/BUFFETS/*BUFFET/TECA1 - JAL.jpg,Sollos,sollos,CARRINHO BAR TECA,carrinho-bar-teca,JAL,1,4f9f3a108604c1417dbdc5900c999239,sollos/carrinho-bar-teca/1.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/carrinho-bar-teca/1.jpg,,previsto,LATEST,
1Ah-xKRXeUWvbbGI-FBtHMUgv7RwGqofz,TECA2 - JAL.jpg,LIVING/MESAS DE CENTRO - GD/*MESAS DE CENTRO/TECA2 - JAL.jpg,Sollos,sollos,CARRINHO BAR TECA,carrinho-bar-teca,JAL,2,20a31227d44b0fe3bee539714e674b35,sollos/carrinho-bar-teca/2.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/carrinho-bar-teca/2.jpg,,previsto,LATEST,
1h44PBQqtA749ovURYVIC5b0mUCD90tIK,TECA3 - JAL.jpeg,LIVING/CARRO BAR/CHÁ E BARES/TECA3 - JAL.jpeg,Sollos,sollos,CARRINHO BAR TECA,carrinho-bar-teca,JAL,3,3347816f841f76f0a5c876836cb2abd7,sollos/carrinho-bar-teca/3.jpg,https://galpao-design-imagens.s3.us-east-1.amazonaws.com/sollos/carrinho-bar-teca/3.jpg,,previsto,LATEST,
